filename,face_identity_score,clip_score,brisque_score,time,
WOMEN-Cardigans-id_00001577-01_2_side,0.494190896,0.268607259,21.18432617,60.02893508,
WOMEN-Dresses-id_00004376-02_2_side,0.512043083,0.279689252,16.48852539,51.90188458,
WOMEN-Tees_Tanks-id_00003917-86_7_additional,0.563675547,0.299349785,12.36785889,61.18399209,
WOMEN-Dresses-id_00001392-03_4_full,0.673047447,0.278480142,9.189147949,62.00685297,
WOMEN-Denim-id_00005223-02_1_front,0.574231023,0.284587771,11.83184814,61.03167553,
WOMEN-Tees_Tanks-id_00006317-08_7_additional,0.747179651,0.30988276,16.26281738,57.20581489,
WOMEN-Blouses_Shirts-id_00001217-03_4_full,0.56874221,0.286103666,30.83361816,65.70499157,
WOMEN-Shorts-id_00005259-02_1_front,0.559037292,0.256201029,28.27264404,59.15646824,
WOMEN-Shorts-id_00001827-05_4_full,0.583782876,0.249536425,16.09594727,66.98832886,
WOMEN-Tees_Tanks-id_00007721-35_4_full,0.608225519,0.297883689,23.05041504,69.81244809,
WOMEN-Leggings-id_00002117-03_1_front,0.681711638,0.251958877,17.27935791,50.84988257,
WOMEN-Tees_Tanks-id_00000744-03_7_additional,0.496447826,0.237989068,20.9675293,58.22033951,
WOMEN-Sweaters-id_00002114-03_7_additional,0.737682784,0.266011596,30.77258301,51.79430546,
WOMEN-Sweatshirts_Hoodies-id_00003972-01_4_full,0.632102364,0.241648406,27.46582031,44.76089286,
WOMEN-Dresses-id_00005839-01_1_front,0.694788629,0.306861758,22.4385376,56.57306261,
WOMEN-Shorts-id_00002472-03_4_full,0.69578504,0.267995536,8.888916016,56.32797217,
WOMEN-Skirts-id_00004947-01_4_full,0.54672178,0.27600804,12.37384033,54.22272357,
MEN-Tees_Tanks-id_00007301-10_1_front,0.72834056,0.317831874,17.58709717,56.90826676,
WOMEN-Blouses_Shirts-id_00000397-02_4_full,0.666749829,0.316823006,32.30639648,53.68055545,
WOMEN-Tees_Tanks-id_00000738-02_4_full,0.487688208,0.261330545,33.81835938,57.28736133,
WOMEN-Rompers_Jumpsuits-id_00007506-02_1_front,0.657036626,0.219268993,13.26422119,53.41392323,
WOMEN-Dresses-id_00003890-02_1_front,0.518013561,0.227380246,25.95690918,50.964594,
WOMEN-Blouses_Shirts-id_00002078-03_1_front,0.491538131,0.26275146,12.74737549,52.97526265,
WOMEN-Tees_Tanks-id_00005017-52_1_front,0.695194388,0.259417713,25.08422852,55.6012128,
WOMEN-Jackets_Coats-id_00007480-01_4_full,0.76245662,0.272509605,29.41333008,70.2871682,
WOMEN-Sweatshirts_Hoodies-id_00000775-06_7_additional,0.625971878,0.269705951,20.77618408,47.70687373,
WOMEN-Dresses-id_00005717-01_1_front,0.607952499,0.311860323,26.6618042,56.37125938,
WOMEN-Sweatshirts_Hoodies-id_00006976-01_4_full,0.476507926,0.256204784,13.36950684,42.99102089,
WOMEN-Tees_Tanks-id_00002011-01_4_full,0.668650889,0.316122293,14.83813477,58.26924817,
WOMEN-Blouses_Shirts-id_00001061-01_4_full,0.581131691,0.305161685,21.16912842,86.40327039,
WOMEN-Dresses-id_00002326-04_4_full,0.496619725,0.294092953,25.75244141,51.38172618,
WOMEN-Jackets_Coats-id_00007707-01_4_full,0.478940973,0.294312209,22.27294922,57.12065476,
WOMEN-Blouses_Shirts-id_00001825-06_4_full,0.591066563,0.251219869,15.98699951,52.90223171,
WOMEN-Denim-id_00001988-08_1_front,0.51904794,0.262714446,25.25805664,54.31864293,
WOMEN-Tees_Tanks-id_00004619-01_4_full,0.633496606,0.26827091,22.3815918,55.62387727,
WOMEN-Dresses-id_00005044-01_2_side,0.674684191,0.192773029,39.0625,52.41708246,
WOMEN-Blouses_Shirts-id_00005078-02_4_full,0.686499202,0.285545588,25.89135742,51.07525731,
WOMEN-Dresses-id_00000791-02_7_additional,0.49211576,0.22377184,23.34057617,50.15753585,
WOMEN-Tees_Tanks-id_00001025-03_4_full,0.710726822,0.319066346,18.83135986,55.44760158,
WOMEN-Dresses-id_00005399-07_2_side,0.690084004,0.238743752,12.38775635,57.367043,
WOMEN-Shorts-id_00001445-03_4_full,0.604209507,0.300896317,14.74224854,55.38627842,
WOMEN-Dresses-id_00004471-04_4_full,0.423312435,0.30521667,18.66589355,63.15300368,
WOMEN-Tees_Tanks-id_00005820-02_7_additional,0.566507214,0.281245291,24.57641602,66.28975014,
WOMEN-Dresses-id_00002562-03_4_full,0.597360724,0.245976463,29.22412109,87.24489094,
WOMEN-Tees_Tanks-id_00003622-01_7_additional,0.658986652,0.25026238,12.97155762,52.35578627,
MEN-Tees_Tanks-id_00000305-01_4_full,0.603541279,0.276806384,23.33660889,56.67635819,
WOMEN-Blouses_Shirts-id_00004596-06_4_full,0.693790281,0.251127869,19.29418945,56.68719971,
WOMEN-Dresses-id_00001363-06_1_front,0.613517249,0.230933696,22.12329102,56.75019763,
WOMEN-Skirts-id_00004205-05_1_front,0.592739129,0.277970731,27.72698975,64.85867554,
WOMEN-Shorts-id_00005128-04_4_full,0.593725407,0.271526843,25.59765625,56.44786453,
WOMEN-Tees_Tanks-id_00002523-09_4_full,0.504701996,0.320355237,8.283691406,56.99189484,
WOMEN-Tees_Tanks-id_00004576-02_1_front,0.683395827,0.241195425,8.68560791,61.77919715,
MEN-Tees_Tanks-id_00006383-02_4_full,0.520651424,0.24432233,12.97595215,67.47257745,
WOMEN-Rompers_Jumpsuits-id_00007889-02_3_back,0.582322174,0.308919936,20.35797119,44.33251281,
WOMEN-Tees_Tanks-id_00004042-05_4_full,0.537280285,0.29417482,29.94354248,55.48358552,
MEN-Pants-id_00003612-02_7_additional,0.720756972,0.284146369,20.07592773,51.96421746,
WOMEN-Skirts-id_00005635-14_4_full,0.509366775,0.19564642,15.05279541,61.17672989,
WOMEN-Jackets_Coats-id_00000181-03_1_front,0.494800264,0.227941543,23.03515625,54.01708961,
WOMEN-Skirts-id_00004644-02_4_full,0.555530244,0.256166875,17.52081299,54.15409435,
MEN-Tees_Tanks-id_00000390-12_7_additional,0.857282961,0.217041165,33.26629639,55.19779355,
WOMEN-Blouses_Shirts-id_00001860-02_4_full,0.548340672,0.270487607,22.92199707,56.57031602,
WOMEN-Sweatshirts_Hoodies-id_00006286-02_4_full,0.634392285,0.266435564,25.94720459,56.46985045,
WOMEN-Shorts-id_00002524-02_4_full,0.743203962,0.30784592,25.76654053,56.56374362,
WOMEN-Leggings-id_00003359-02_7_additional,0.540243948,0.223765343,9.820007324,94.71112101,
WOMEN-Pants-id_00003608-10_1_front,0.601117605,0.305220515,15.45422363,46.15537342,
WOMEN-Dresses-id_00006925-05_4_full,0.602859461,0.264943361,17.41595459,45.24203902,
WOMEN-Dresses-id_00005299-03_4_full,0.576203966,0.25617224,25.98608398,41.76032569,
MEN-Sweatshirts_Hoodies-id_00007246-06_1_front,0.793557251,0.296439588,22.74127197,78.86848543,
WOMEN-Dresses-id_00003174-01_1_front,0.612284923,0.220096827,11.3795166,118.7000979,
MEN-Denim-id_00000089-46_7_additional,0.613644296,0.271881074,25.63372803,64.20573307,
